,Latitude,Longitude,name,description,State,Active
42,33.705878,-117.833733,Orange County Animal Save,https://www.facebook.com/OCANIMALSAVE/,California,N
43,37.809363,-122.273395,Bay Area Animal Save,https://www.facebook.com/bayareasave/,California,N
44,38.590824,-121.456989,Sacramento Animal Save,https://www.facebook.com/Sacramentoanimalsave/,California,Y
45,34.045192,-118.223619,Veggei Mijas Los Angeles,https://www.veggiemijas.com/,California,N
46,32.718844,-117.132797,San Diego Animal Save,https://www.facebook.com/sandiegoanimalsave/,California,Y
47,37.823616,-122.293282,Veggie Mijas Bay Area,https://www.veggiemijas.com/ https://www.instagram.com/veggiemijas https://www.facebook.com/veggiemijas https://www.tiktok.com/@veggiemijas,California,N
48,34.412752,-119.84509,UC Santa Barbara Advocacy for All Animals,https://www.instagram.com/aaaucsb/?utm_source=ig_embed&ig_rid=4389234f-e310-442e-a611-f315bdce1718&ig_mid=E72EDFE4-04E0-4371-A296-44CF9D8DFC24,California,Y
49,37.302163,-120.482968,"AV: Merced, CA, USA",https://www.facebook.com/groups/2820098481395864/,California,N
50,34.064037,-118.230057,Los Angeles For Animals,https://www.facebook.com/losangelesforanimals/events/?ref=page_internal,California,Y
51,33.77005,-118.19374,"AV: Long Beach, CA, USA",https://www.facebook.com/groups/202676200277820/,California,Y
52,37.910075,-122.281609,Legal Impact for Chickens,legalimpactforchickens.org,California,Y
53,34.07296,-118.399002,Last Chance for Animals (LCA),https://www.facebook.com/LastChanceForAnimals/events/?ref=page_internal,California,Y
54,34.038436,-118.257866,"AV: Los Angeles (Downtown), CA, USA",https://www.facebook.com/groups/649057202203661/,California,N
55,33.916298,-117.890167,SOS Brea,https://sos.peta.org/join-a-hub/,California,N
56,33.979179,-118.032844,"AV: Whittier, CA, USA",https://www.facebook.com/groups/763614530673788/,California,N
57,34.041011,-118.27867,Direct Action Everywhere Inland Empire,https://www.facebook.com/dxeIE/events/?ref=page_internal,California,N
58,37.766626,-120.847031,"AV: Oakdale, CA, USA",https://www.facebook.com/groups/3169435766505811,California,N
59,33.830296,-116.545292,"AV: Palm Springs, CA, USA",https://www.facebook.com/groups/938500933011993/,California,Y
60,34.195333,-119.115143,"WTF: Camarillo & Oxnard, USA",https://www.facebook.com/groups/1007742983174134,California,N
61,33.645921,-117.842917,Anteaters For Animals,https://www.instagram.com/anteatersforanimals/,California,Y
62,34.055569,-117.182538,"AV: Redlands, CA, USA",https://www.facebook.com/groups/439321589858206,California,N
63,38.635646,-121.58638,"AV: Sacramento, CA, USA",https://www.facebook.com/groups/168439517082034,California,Y
64,37.876208,-122.261009,Animal Rights Centre (ARC),https://www.berkeleyarc.com/,California,Y
65,32.733863,-117.158031,"AV: San Diego, CA, USA",https://www.facebook.com/groups/1757884704517799/,California,Y
66,37.77493,-122.419416,"AV: San Francisco, CA, USA",https://www.facebook.com/groups/309488322825507/,California,Y
67,37.346416,-121.877518,"AV: Santa Clara County, CA, USA",https://www.facebook.com/groups/395642691206979/,California,Y
