Latitude,Longitude,name,styleUrl,styleHash,styleMapHash,description,ID,FacebookID,Name,Flag,FbURL,TwitterURL,InstaURL,Email,Region,Lat,Lng,gx_media_links
-0.569906,28.701782,Animals rights Drcongo,,,,https://www.facebook.com/profile.php?id=100079003634911,,,,,,,,,,,,
52.523324,13.44306,Animals United e.V.,,,,https://www.facebook.com/AnimalsUnited.eV/events/?ref=page_internal,,,,,,,,,,,,
36.567012,139.284668,Animals Volunteer Charity,,,,https://instagram.com/animalsvolunteer?igshid=NzZlODBkYWE4Ng==,,,,,,,,,,,,
36.369328,140.475311,Animals Volunteer Mito,,,,https://instagram.com/animalsvolunteer_mito?igshid=NzZlODBkYWE4Ng==,,,,,,,,,,,,
51.481296,7.218875,Animals’ Voices Bochum,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/animalsvoicesbochum/,,,,,,,,,,,,
53.083869,8.809233,Animals‘ Voices Bremen,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/AnimalsVoicesBremen/events/?ref=page_internal,,,,,,,,,,,,
51.443075,6.769493,Animals' Voices Duisburg,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/animalsvoicesduisburg/,,,,,,,,,,,,
51.227387,6.785729,Animals' Voices Düsseldorf,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/animalsvoicesdusseldorf/,,,,,,,,,,,,
39.955874,32.867519,Ankara Vegan Platformu,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/ankaraveganplatformu/events/?ref=page_internal,,,,,,,,,,,,
33.645921,-117.842917,Anteaters For Animals,,,,https://www.instagram.com/anteatersforanimals/,,,,,,,,,,,,
47.375831,8.529768,Anti Fur League,,,,https://www.facebook.com/antifurleague,,,,,,,,,,,,
51.515468,-0.140173,Anti Speciesist Alliance,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/antispeciesistalliance/events/?ref=page_internal,,,,,,,,,,,,
32.226785,-111.013319,Anti-Speciesist Action,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/antispeciesistaction/events/?ref=page_internal,,,,,,,,,,,,
-35.321514,149.132184,Anti-Speciesist Action Collective - Canberra,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/anti.speciesist.action.collective/events/?ref=page_internal,,,,,,,,,,,,
-27.447353,153.020668,Anti-Speciesist Action Meanjin - Brisbane,#icon-1899-0288D1,-21fe3a8d,[object Object],https://www.facebook.com/ASAM1312/events/?ref=page_internal,,,,,,,,,,,,
